passenger_ID,passenger_X,passenger_Y,passenger_StationID,passenger_DepartureTime
1,0.25446,3.11087,1,7
2,-1.73811,-5.34941,1,9
3,-2.63193,1.51648,1,8
4,4.62366,-3.446,1,8
5,-1.28269,4.13383,1,7
6,-4.62882,-1.2126,1,8
7,-1.15618,5.17326,1,8
8,4.21378,-1.4109,1,7
9,-0.60798,3.44926,1,8
10,-1.30989,-2.62103,1,6
11,-1.36004,1.76786,1,7
12,-2.11552,-4.76413,1,7
13,-3.0205,-2.8321,1,8
14,0.3967,-2.72683,1,8
15,-3.96521,-4.02803,1,7
16,-3.26304,0.92358,1,7
17,-3.83597,1.23116,1,7
18,1.94191,2.91061,1,6
19,3.58214,3.26188,1,6
20,2.63173,3.85921,1,7
21,4.2858,-2.03212,1,7
22,-1.60534,-2.94011,1,8
23,2.84642,-1.93806,1,8
24,-2.47026,-2.16943,1,8
25,0.84457,3.54852,1,7
26,2.65926,0.20943,1,6
27,-2.73744,-0.58807,1,7
28,5.81299,-0.9959,1,7
29,1.59613,-5.66657,1,5
30,2.66323,1.23133,1,8
31,-1.14985,1.32219,1,7
32,2.0236,2.24918,1,8
33,-0.65073,5.04443,1,7
34,-2.34744,-4.80085,1,6
35,-0.79577,1.5462,1,6
36,-4.65506,-0.27664,1,7
37,-0.37067,1.47242,1,8
38,-3.73775,2.38252,1,7
39,-3.51351,3.39092,1,8
40,-5.15942,-2.98248,1,8
41,-5.44941,2.27717,1,6
42,5.41175,-0.21736,1,6
43,3.69966,4.23572,1,7
44,5.45143,1.91694,1,8
45,1.28751,-0.81673,1,7
46,-2.8157,3.18858,1,8
47,5.9453,0.16715,1,9
48,-0.02166,3.96408,1,6
49,1.95372,-5.08886,1,7
50,-0.20517,-4.54432,1,6
51,-3.25479,-4.20389,1,7
52,1.97437,-3.83644,1,6
53,-1.77178,0.30549,1,8
54,1.98496,-1.10914,1,7
55,-0.302,2.43318,1,8
56,-3.27487,0.06904,1,7
57,2.82242,-5.18168,1,5
58,-4.67201,-1.32076,1,6
59,0.34825,5.44895,1,7
60,-2.3186,3.99742,1,6
61,3.1152,-3.74016,1,8
62,-5.35522,-0.98657,1,5
63,-3.2777,4.77308,1,7
64,-4.0901,-4.04007,1,7
65,3.27929,4.397,1,7
66,-0.12622,-2.32667,1,6
67,-2.49241,2.86763,1,9
68,-1.84675,-0.19484,1,7
69,-2.59597,3.73504,1,6
70,3.36833,-4.21594,1,9
71,0.88809,1.78532,1,5
72,1.99773,-2.15096,1,7
73,-2.00876,-3.24804,1,9
74,1.3503,2.94474,1,7
75,2.98625,4.49071,1,7
76,-0.22973,3.75239,1,6
77,-4.57726,1.69138,1,7
78,4.08313,-1.49358,1,8
79,1.01047,-4.57406,1,6
80,-1.37973,5.66107,1,8
81,-5.77116,0.88783,1,7
82,2.36659,0.64721,1,6
83,0.90267,-5.46856,1,8
84,-0.8196,-3.64098,1,7
85,-1.48981,-1.85294,1,8
86,-3.10896,-2.35041,1,6
87,3.93817,1.9913,1,7
88,-5.82286,-0.88402,1,8
89,-3.09964,-2.27613,1,8
90,-1.19491,-1.1134,1,9
91,4.47456,-3.35312,1,5
92,-1.18321,2.14476,1,7
93,0.15423,4.28604,1,9
94,-5.14528,2.11256,1,7
95,-3.28191,-2.97514,1,7
96,2.48048,-3.34219,1,6
97,-0.22831,-5.40499,1,7
98,-1.70363,-0.18935,1,8
99,-3.5722,2.96906,1,7
100,-0.08978,-4.01574,1,7
101,-4.09553,4.32724,1,10
102,-4.81199,2.47833,1,6
103,2.00431,0.23226,1,8
104,-2.94245,-0.14361,1,6
105,1.16907,4.01901,1,6
106,4.983,-1.06957,1,8
107,-5.25208,2.82966,1,6
108,3.66565,0.98104,1,6
109,-5.7416,-0.61939,1,6
110,5.83647,-0.60883,1,9
111,-0.59973,3.95597,1,9
112,3.82606,4.23533,1,8
113,3.08364,1.9716,1,7
114,2.245,0.04916,1,9
115,-3.34356,-2.97445,1,7
116,-2.99349,3.94874,1,7
117,2.42338,-5.14931,1,8
118,-1.76725,-1.70366,1,7
119,-5.07385,-1.57838,1,7
120,4.9738,1.76945,1,7
121,-2.26406,4.59219,1,6
122,4.25648,-2.79459,1,6
123,-4.22408,-3.21008,1,8
124,-5.77424,1.33881,1,7
125,3.50016,-1.61609,1,7
126,-1.3145,1.82351,1,8
127,2.88775,1.41377,1,8
128,-2.99602,0.86541,1,6
129,-3.22849,-2.02444,1,7
130,1.66476,-5.17945,1,7
131,-1.40063,1.52199,1,7
132,-4.1428,-0.51584,1,8
