600 179 1 1 1 0.5 0.5 0.085 
30 24 1.23 118 11.8
3 0.8333333333333334 0.8333333333333334
0 0.0 0.0
1 2.5511 -5.08684 8
2 -1.37172 3.40187 6
3 3.77256 3.96665 7
4 1.54134 1.13205 7
5 -1.1421 -2.13987 7
6 2.96921 3.67652 6
7 3.97233 -2.08613 6
8 0.12942 4.04574 8
9 -0.04478 -3.68348 7
10 -3.69586 -3.0985 8
11 -2.31757 3.41557 6
12 -3.53323 -3.82129 8
13 4.4141 0.49947 8
14 0.42342 -4.64835 7
15 2.30819 4.3247 6
16 -4.54376 -3.87612 6
17 -3.88764 -3.13027 7
18 -3.63708 -1.72255 7
19 -0.5783 -5.61156 7
20 1.58168 -5.24883 7
21 1.32514 1.52726 8
22 -5.0938 0.74646 6
23 -4.59092 2.87171 8
24 -4.19425 3.08415 7
25 2.48382 -4.47368 8
26 1.7273 4.18605 7
27 0.1838 -2.53555 5
28 -0.52409 -5.85627 6
29 -3.51877 1.86499 7
30 2.01601 2.34687 9
31 -1.45114 -4.9348 8
32 4.23239 -4.22982 10
33 1.4813 2.94665 7
34 3.68995 3.36021 7
35 1.16132 4.59541 7
36 -4.82294 1.78865 6
37 -5.64254 1.43083 5
38 0.16365 -3.75457 6
39 1.6873 2.82191 7
40 3.21271 -2.34776 6
41 -5.19018 -0.7119 8
42 -0.94892 5.07808 6
43 3.95374 0.5693 8
44 -5.12111 -3.06852 9
45 1.24376 3.98841 8
46 -3.59839 1.38479 7
47 4.96395 -1.24867 7
48 0.66078 2.14391 7
49 -3.39401 2.04348 7
50 2.95357 -4.42082 8
51 5.21994 0.90142 8
52 -1.63635 -3.02533 7
53 -2.87222 0.63039 6
54 -2.34621 3.55668 5
55 -3.68099 0.00048 7
56 -4.73478 2.15155 6
57 -2.74795 -1.03979 5
58 2.85078 2.3017 7
59 -3.39918 4.38044 6
60 4.33834 -2.04595 7
61 -5.66644 -0.13821 7
62 -3.7397 -4.60688 6
63 -5.42854 1.01324 8
64 2.8316 -0.57871 7
65 3.57887 3.2114 6
66 -2.52821 3.45352 7
67 -1.69255 -3.60909 7
68 1.15331 -5.09494 7
69 -4.39338 3.28991 7
70 -0.29163 -5.02235 6
71 -1.83677 1.89121 8
72 4.16755 2.93289 9
73 2.0464 0.21906 5
74 1.86157 2.29935 8
75 5.76555 -0.46931 8
76 1.42128 3.72856 8
77 2.69008 0.13537 7
