busStop_ID,busStop_X,busStop_Y
1,-5.9581,-3.45285
2,-5.9581,-2.25285
3,-5.9581,-1.05285
4,-5.9581,0.14715
5,-5.9581,1.34715
6,-5.9581,2.54715
7,-4.7581,-4.65285
8,-4.7581,-3.45285
9,-4.7581,-2.25285
10,-4.7581,-1.05285
11,-4.7581,0.14715
12,-4.7581,1.34715
13,-4.7581,2.54715
14,-4.7581,3.74715
15,-3.5581,-4.65285
16,-3.5581,-3.45285
17,-3.5581,-2.25285
18,-3.5581,-1.05285
19,-3.5581,0.14715
20,-3.5581,1.34715
21,-3.5581,2.54715
22,-3.5581,3.74715
23,-3.5581,4.94715
24,-2.3581,-5.85285
25,-2.3581,-4.65285
26,-2.3581,-3.45285
27,-2.3581,-2.25285
28,-2.3581,-1.05285
29,-2.3581,0.14715
30,-2.3581,1.34715
31,-2.3581,2.54715
32,-2.3581,3.74715
33,-2.3581,4.94715
34,-2.3581,6.14715
35,-1.1581,-5.85285
36,-1.1581,-4.65285
37,-1.1581,-3.45285
38,-1.1581,-2.25285
39,-1.1581,-1.05285
40,-1.1581,0.14715
41,-1.1581,1.34715
42,-1.1581,2.54715
43,-1.1581,3.74715
44,-1.1581,4.94715
45,-1.1581,6.14715
46,0.0419,-5.85285
47,0.0419,-4.65285
48,0.0419,-3.45285
49,0.0419,-2.25285
50,0.0419,-1.05285
51,0.0419,1.34715
52,0.0419,2.54715
53,0.0419,3.74715
54,0.0419,4.94715
55,0.0419,6.14715
56,1.2419,-5.85285
57,1.2419,-4.65285
58,1.2419,-3.45285
59,1.2419,-2.25285
60,1.2419,-1.05285
61,1.2419,0.14715
62,1.2419,1.34715
63,1.2419,2.54715
64,1.2419,3.74715
65,1.2419,4.94715
66,1.2419,6.14715
67,2.4419,-5.85285
68,2.4419,-4.65285
69,2.4419,-3.45285
70,2.4419,-2.25285
71,2.4419,-1.05285
72,2.4419,0.14715
73,2.4419,1.34715
74,2.4419,2.54715
75,2.4419,3.74715
76,2.4419,4.94715
77,2.4419,6.14715
78,3.6419,-5.85285
79,3.6419,-4.65285
80,3.6419,-3.45285
81,3.6419,-2.25285
82,3.6419,-1.05285
83,3.6419,0.14715
84,3.6419,1.34715
85,3.6419,2.54715
86,3.6419,3.74715
87,3.6419,4.94715
88,4.8419,-4.65285
89,4.8419,-3.45285
90,4.8419,-2.25285
91,4.8419,-1.05285
92,4.8419,0.14715
93,4.8419,1.34715
94,4.8419,2.54715
95,4.8419,3.74715
96,6.0419,-2.25285
97,6.0419,-1.05285
98,6.0419,0.14715
99,6.0419,1.34715
100,6.0419,2.54715
